ticker,LRCX,AMAT,KLAC,ETN,MU,WDC,CAT,GLW,AMD,GS,HD,LOW,COF,SYK,MA,BAC,MCD,DIS,AXP,V,MRVL,ORCL,COP,SNDK,CVX,AVGO,XOM,STX,NOW,CRM,MSFT,CRWD,ACN,PANW,SPGI,PLTR,IBM,WMT,UNP,MRK,DE,TXN,JNJ,WELL,NEE
COF,0.2314,0.1833,0.1748,0.2653,0.1172,0.1578,0.2563,0.1035,0.1354,0.5219,0.3846,0.3566,1.0,0.2455,0.4607,0.6477,0.0957,0.3831,0.7693,0.3988,0.1077,0.1269,-0.1257,0.1194,-0.2062,0.0916,-0.2095,0.1041,0.1443,0.1636,0.2047,0.2134,0.2781,0.2164,0.3009,0.1773,0.2444,0.0036,0.2099,0.0524,0.2076,0.1848,-0.1519,-0.0509,-0.0098
SYK,-0.153,-0.1626,-0.172,-0.2218,-0.1701,-0.2315,-0.1175,-0.1483,-0.2222,-0.062,0.3645,0.3652,0.2455,1.0,0.3359,0.155,0.3452,0.2446,0.1844,0.2804,-0.2158,-0.1811,-0.0286,-0.1149,-0.0607,-0.1882,-0.0435,-0.2638,0.1437,0.1239,0.0699,-0.1324,0.2594,-0.0607,0.2853,-0.087,0.156,0.1986,0.1964,0.2735,0.1359,-0.0374,0.3235,0.218,0.0721
MA,-0.1037,-0.1722,-0.1265,-0.1623,-0.1705,-0.1348,-0.1727,-0.252,-0.1626,0.0963,0.2586,0.2116,0.4607,0.3359,1.0,0.3444,0.3212,0.2586,0.4594,0.8515,-0.2364,-0.0974,-0.0278,-0.1355,-0.03,-0.1954,-0.014,-0.119,0.2533,0.282,0.2501,0.0708,0.4096,0.1586,0.4403,0.0867,0.2732,0.0683,0.1704,0.1797,-0.0278,-0.0721,0.0883,-0.0095,-0.1121
BAC,0.2316,0.1778,0.1857,0.2122,0.0354,0.1224,0.2576,0.1052,0.1091,0.5581,0.2698,0.2273,0.6477,0.155,0.3444,1.0,0.0827,0.2744,0.6169,0.3095,0.1134,0.061,-0.0424,0.0939,-0.0693,0.0712,-0.0779,0.0877,0.0356,0.036,0.1108,0.1411,0.1593,0.1324,0.2211,0.0981,0.2091,0.0159,0.2486,0.0406,0.1981,0.1403,-0.0323,0.0673,0.0202
MCD,-0.2309,-0.2715,-0.2297,-0.1904,-0.3188,-0.2532,-0.1481,-0.2128,-0.261,-0.1326,0.3947,0.3933,0.0957,0.3452,0.3212,0.0827,1.0,0.2317,0.1229,0.2973,-0.1769,-0.2373,-0.0168,-0.2917,-0.0471,-0.2163,0.014,-0.2301,0.0688,0.0838,0.0189,-0.2151,0.2702,-0.1384,0.2482,-0.035,0.1525,0.3614,0.2368,0.2508,0.0774,-0.0231,0.3784,0.2068,0.1785
DIS,0.0196,-0.0428,0.0298,0.025,-0.0846,-0.1207,0.0388,-0.0491,0.0639,0.2221,0.4055,0.4253,0.3831,0.2446,0.2586,0.2744,0.2317,1.0,0.3426,0.2132,-0.0295,0.0214,-0.0799,-0.1033,-0.0983,-0.0073,-0.1018,-0.1149,0.1606,0.1945,0.1255,0.0606,0.2573,0.0838,0.2145,0.0929,0.1367,0.0904,0.1885,0.1462,0.1699,0.0365,0.0394,0.0529,0.0677
AXP,0.1792,0.1437,0.1427,0.1725,0.0598,0.083,0.184,0.0387,0.0921,0.4762,0.2972,0.3074,0.7693,0.1844,0.4594,0.6169,0.1229,0.3426,1.0,0.4339,0.0819,0.1085,-0.0913,0.0638,-0.113,0.0706,-0.1288,0.0594,0.183,0.1664,0.2104,0.2012,0.2985,0.2255,0.3008,0.1863,0.2575,-0.0711,0.1771,0.0211,0.1803,0.1073,-0.1267,-0.0391,-0.0524
V,-0.0943,-0.1443,-0.0892,-0.1216,-0.1596,-0.0837,-0.0973,-0.1954,-0.1097,0.0932,0.2286,0.1803,0.3988,0.2804,0.8515,0.3095,0.2973,0.2132,0.4339,1.0,-0.1855,-0.1621,-0.024,-0.13,-0.0507,-0.1504,-0.0235,-0.0386,0.2223,0.2533,0.1834,0.0318,0.3662,0.1201,0.4228,0.1022,0.2295,0.0876,0.146,0.1963,0.0241,-0.0322,0.1322,0.0119,-0.0512
MRVL,0.5725,0.5854,0.5623,0.558,0.5036,0.4686,0.5335,0.5444,0.5032,0.3798,0.0487,-0.0102,0.1077,-0.2158,-0.2364,0.1134,-0.1769,-0.0295,0.0819,-0.1855,1.0,0.248,-0.0683,0.3735,-0.1381,0.4814,-0.1433,0.3967,-0.1138,-0.1665,0.0222,0.1902,-0.2441,0.1586,-0.2097,0.1812,0.0367,-0.1305,-0.0352,-0.002,0.2309,0.4769,-0.2073,-0.1557,0.11
ORCL,0.2347,0.2218,0.1926,0.2617,0.2615,0.2237,0.1529,0.1707,0.2716,0.2486,-0.0813,-0.0746,0.1269,-0.1811,-0.0974,0.061,-0.2373,0.0214,0.1085,-0.1621,0.248,1.0,-0.0022,0.2268,-0.0198,0.4768,-0.0712,0.2247,0.2948,0.2191,0.3836,0.3707,0.0651,0.3531,0.0691,0.3445,0.1903,-0.2253,-0.1811,-0.1673,-0.0834,0.0231,-0.2927,-0.221,-0.0853
COP,-0.2319,-0.1616,-0.168,-0.1077,-0.1845,-0.1373,-0.0995,-0.1204,-0.13,-0.1653,-0.2549,-0.2112,-0.1257,-0.0286,-0.0278,-0.0424,-0.0168,-0.0799,-0.0913,-0.024,-0.0683,-0.0022,1.0,-0.117,0.8181,-0.1529,0.8062,-0.1048,-0.002,0.0288,-0.0475,-0.0544,0.1074,-0.0967,-0.0192,-0.0344,-0.0026,0.0551,0.1314,0.0561,0.031,-0.0665,0.0837,-0.0247,0.1035
SNDK,0.7008,0.6248,0.5655,0.5059,0.766,0.7187,0.5396,0.4959,0.4782,0.3598,0.0254,-0.0308,0.1194,-0.1149,-0.1355,0.0939,-0.2917,-0.1033,0.0638,-0.13,0.3735,0.2268,-0.117,1.0,-0.1709,0.4236,-0.1458,0.6892,-0.1547,-0.153,0.0553,0.1884,-0.2506,0.1559,-0.181,0.1445,-0.0559,-0.1152,-0.0757,-0.0312,0.1006,0.3491,-0.2025,-0.0586,0.0136
CVX,-0.2895,-0.2357,-0.2697,-0.1946,-0.2594,-0.2128,-0.1598,-0.2131,-0.2031,-0.2146,-0.2448,-0.2012,-0.2062,-0.0607,-0.03,-0.0693,-0.0471,-0.0983,-0.113,-0.0507,-0.1381,-0.0198,0.8181,-0.1709,1.0,-0.1585,0.8393,-0.2012,-0.0018,0.0337,-0.0642,-0.069,0.1095,-0.0839,-0.0171,-0.0568,0.0025,0.0116,0.1047,0.0649,-0.0779,-0.1696,0.0748,-0.0202,0.075
AVGO,0.534,0.492,0.4816,0.494,0.4862,0.4456,0.4424,0.4506,0.4334,0.3638,0.0101,0.0134,0.0916,-0.1882,-0.1954,0.0712,-0.2163,-0.0073,0.0706,-0.1504,0.4814,0.4768,-0.1529,0.4236,-0.1585,1.0,-0.1821,0.4248,0.0437,-0.0091,0.1916,0.3582,-0.1615,0.2635,-0.1496,0.2986,0.1025,-0.1781,-0.1359,-0.1895,0.0493,0.2676,-0.2636,-0.1568,-0.0108
XOM,-0.2511,-0.2015,-0.2144,-0.1636,-0.203,-0.1708,-0.1193,-0.1506,-0.1807,-0.1931,-0.2327,-0.1894,-0.2095,-0.0435,-0.014,-0.0779,0.014,-0.1018,-0.1288,-0.0235,-0.1433,-0.0712,0.8062,-0.1458,0.8393,-0.1821,1.0,-0.1346,-0.044,-0.0509,-0.097,-0.1124,0.0387,-0.1445,-0.1009,-0.0846,-0.0564,0.0685,0.1141,0.0357,-0.0088,-0.1227,0.1091,-0.0376,0.1015
STX,0.6542,0.5886,0.5474,0.5482,0.649,0.8773,0.5674,0.4958,0.4155,0.3533,-0.0941,-0.1533,0.1041,-0.2638,-0.119,0.0877,-0.2301,-0.1149,0.0594,-0.0386,0.3967,0.2247,-0.1048,0.6892,-0.2012,0.4248,-0.1346,1.0,-0.1872,-0.1969,0.0219,0.1217,-0.2759,0.1035,-0.1927,0.0904,-0.0237,-0.0676,-0.0856,-0.0882,0.0718,0.3888,-0.1786,-0.1162,0.0344
NOW,-0.2468,-0.2489,-0.2293,-0.2654,-0.1653,-0.216,-0.3127,-0.2377,-0.0991,-0.0268,0.0436,0.0095,0.1443,0.1437,0.2533,0.0356,0.0688,0.1606,0.183,0.2223,-0.1138,0.2948,-0.002,-0.1547,-0.0018,0.0437,-0.044,-0.1872,1.0,0.8031,0.5167,0.4789,0.5733,0.4921,0.4312,0.4252,0.4594,-0.0833,-0.2223,-0.1119,-0.196,-0.3109,-0.1125,-0.2701,-0.3117
CRM,-0.2632,-0.2417,-0.23,-0.2791,-0.1541,-0.2115,-0.2916,-0.2865,-0.164,-0.0203,0.0171,-0.0059,0.1636,0.1239,0.282,0.036,0.0838,0.1945,0.1664,0.2533,-0.1665,0.2191,0.0288,-0.153,0.0337,-0.0091,-0.0509,-0.1969,0.8031,1.0,0.4542,0.3955,0.618,0.4079,0.4442,0.3712,0.4303,-0.1208,-0.1105,-0.0527,-0.2131,-0.2631,-0.0918,-0.2132,-0.2688
MSFT,0.0562,0.0115,-0.0236,0.039,0.066,0.0062,-0.1595,-0.035,0.1745,0.1454,0.0175,-0.0436,0.2047,0.0699,0.2501,0.1108,0.0189,0.1255,0.2104,0.1834,0.0222,0.3836,-0.0475,0.0553,-0.0642,0.1916,-0.097,0.0219,0.5167,0.4542,1.0,0.4299,0.2514,0.4328,0.2529,0.394,0.265,-0.1503,-0.1859,-0.1475,-0.2322,-0.1733,-0.2501,-0.1697,-0.1722
CRWD,0.2225,0.2164,0.2243,0.1764,0.2391,0.1593,0.0946,0.1071,0.2013,0.304,-0.0295,-0.0736,0.2134,-0.1324,0.0708,0.1411,-0.2151,0.0606,0.2012,0.0318,0.1902,0.3707,-0.0544,0.1884,-0.069,0.3582,-0.1124,0.1217,0.4789,0.3955,0.4299,1.0,0.224,0.7995,0.1467,0.4543,0.1924,-0.2019,-0.1603,-0.2168,0.0119,0.0008,-0.2458,-0.181,-0.1699
ACN,-0.2991,-0.3224,-0.3053,-0.2985,-0.3015,-0.3199,-0.3159,-0.422,-0.2063,-0.0328,0.1684,0.21,0.2781,0.2594,0.4096,0.1593,0.2702,0.2573,0.2985,0.3662,-0.2441,0.0651,0.1074,-0.2506,0.1095,-0.1615,0.0387,-0.2759,0.5733,0.618,0.2514,0.224,1.0,0.2196,0.5024,0.245,0.4581,0.0247,0.0708,0.0951,-0.0492,-0.228,0.0758,-0.0767,-0.2094
PANW,0.175,0.1665,0.1953,0.1268,0.1521,0.1116,0.0282,0.1191,0.188,0.2587,-0.0221,-0.0625,0.2164,-0.0607,0.1586,0.1324,-0.1384,0.0838,0.2255,0.1201,0.1586,0.3531,-0.0967,0.1559,-0.0839,0.2635,-0.1445,0.1035,0.4921,0.4079,0.4328,0.7995,0.2196,1.0,0.2387,0.4094,0.2321,-0.2172,-0.1217,-0.1392,0.0002,0.0035,-0.2042,-0.1366,-0.1181
SPGI,-0.1837,-0.2184,-0.2009,-0.2105,-0.1966,-0.2017,-0.2461,-0.287,-0.1094,0.0956,0.1867,0.1738,0.3009,0.2853,0.4403,0.2211,0.2482,0.2145,0.3008,0.4228,-0.2097,0.0691,-0.0192,-0.181,-0.0171,-0.1496,-0.1009,-0.1927,0.4312,0.4442,0.2529,0.1467,0.5024,0.2387,1.0,0.1605,0.2745,0.0215,0.0469,0.0112,-0.0736,-0.1334,0.0419,0.0054,-0.1214
PLTR,0.1526,0.1179,0.1323,0.0973,0.1274,0.1537,0.0893,0.104,0.2451,0.2226,0.0086,0.0109,0.1773,-0.087,0.0867,0.0981,-0.035,0.0929,0.1863,0.1022,0.1812,0.3445,-0.0344,0.1445,-0.0568,0.2986,-0.0846,0.0904,0.4252,0.3712,0.394,0.4543,0.245,0.4094,0.1605,1.0,0.2682,-0.1064,-0.1024,-0.0818,-0.0857,-0.0208,-0.1527,-0.129,-0.0615
IBM,-0.0226,-0.0655,-0.0407,-0.0712,-0.0278,-0.0352,-0.0509,-0.0723,0.0076,0.0343,0.1021,0.0678,0.2444,0.156,0.2732,0.2091,0.1525,0.1367,0.2575,0.2295,0.0367,0.1903,-0.0026,-0.0559,0.0025,0.1025,-0.0564,-0.0237,0.4594,0.4303,0.265,0.1924,0.4581,0.2321,0.2745,0.2682,1.0,-0.0985,-0.009,0.0737,0.0097,-0.1942,0.017,-0.0667,-0.1052
WMT,-0.1102,-0.1193,-0.0958,-0.0997,-0.1909,-0.0758,0.0888,-0.0627,-0.0882,-0.11,0.2802,0.3136,0.0036,0.1986,0.0683,0.0159,0.3614,0.0904,-0.0711,0.0876,-0.1305,-0.2253,0.0551,-0.1152,0.0116,-0.1781,0.0685,-0.0676,-0.0833,-0.1208,-0.1503,-0.2019,0.0247,-0.2172,0.0215,-0.1064,-0.0985,1.0,0.1369,0.1082,0.1521,0.0183,0.3026,0.2183,0.1841
UNP,0.0094,0.0582,0.0686,0.1378,-0.062,-0.0183,0.2271,0.0646,-0.0657,0.0878,0.3046,0.3324,0.2099,0.1964,0.1704,0.2486,0.2368,0.1885,0.1771,0.146,-0.0352,-0.1811,0.1314,-0.0757,0.1047,-0.1359,0.1141,-0.0856,-0.2223,-0.1105,-0.1859,-0.1603,0.0708,-0.1217,0.0469,-0.1024,-0.009,0.1369,1.0,0.2423,0.2868,0.2702,0.2454,0.3156,0.3313
MRK,-0.0178,-0.0023,-0.0054,-0.0482,-0.035,-0.09,0.0604,0.0032,-0.1605,-0.0284,0.2129,0.2003,0.0524,0.2735,0.1797,0.0406,0.2508,0.1462,0.0211,0.1963,-0.002,-0.1673,0.0561,-0.0312,0.0649,-0.1895,0.0357,-0.0882,-0.1119,-0.0527,-0.1475,-0.2168,0.0951,-0.1392,0.0112,-0.0818,0.0737,0.1082,0.2423,1.0,0.1555,0.0291,0.4585,0.1981,0.2186
DE,0.1911,0.2248,0.2201,0.3353,0.09,0.1378,0.479,0.2332,0.0995,0.1776,0.314,0.3472,0.2076,0.1359,-0.0278,0.1981,0.0774,0.1699,0.1803,0.0241,0.2309,-0.0834,0.031,0.1006,-0.0779,0.0493,-0.0088,0.0718,-0.196,-0.2131,-0.2322,0.0119,-0.0492,0.0002,-0.0736,-0.0857,0.0097,0.1521,0.2868,0.1555,1.0,0.3143,0.0927,0.1035,0.2168
TXN,0.4679,0.4732,0.4523,0.5187,0.4382,0.4348,0.5043,0.3999,0.3798,0.3343,0.1639,0.1571,0.1848,-0.0374,-0.0721,0.1403,-0.0231,0.0365,0.1073,-0.0322,0.4769,0.0231,-0.0665,0.3491,-0.1696,0.2676,-0.1227,0.3888,-0.3109,-0.2631,-0.1733,0.0008,-0.228,0.0035,-0.1334,-0.0208,-0.1942,0.0183,0.2702,0.0291,0.3143,1.0,-0.1157,0.0645,0.2477
JNJ,-0.2325,-0.2013,-0.1892,-0.2169,-0.2393,-0.1977,-0.06,-0.0704,-0.2411,-0.1508,0.1815,0.2073,-0.1519,0.3235,0.0883,-0.0323,0.3784,0.0394,-0.1267,0.1322,-0.2073,-0.2927,0.0837,-0.2025,0.0748,-0.2636,0.1091,-0.1786,-0.1125,-0.0918,-0.2501,-0.2458,0.0758,-0.2042,0.0419,-0.1527,0.017,0.3026,0.2454,0.4585,0.0927,-0.1157,1.0,0.3577,0.3014
WELL,-0.0525,-0.0645,-0.0242,-0.0437,-0.0691,-0.0937,0.0141,-0.0109,-0.0897,-0.0947,0.1043,0.1724,-0.0509,0.218,-0.0095,0.0673,0.2068,0.0529,-0.0391,0.0119,-0.1557,-0.221,-0.0247,-0.0586,-0.0202,-0.1568,-0.0376,-0.1162,-0.2701,-0.2132,-0.1697,-0.181,-0.0767,-0.1366,0.0054,-0.129,-0.0667,0.2183,0.3156,0.1981,0.1035,0.0645,0.3577,1.0,0.3404
NEE,0.0725,0.0977,0.0555,0.1552,0.0034,0.0829,0.2318,0.1664,0.0653,0.0411,0.2136,0.2178,-0.0098,0.0721,-0.1121,0.0202,0.1785,0.0677,-0.0524,-0.0512,0.11,-0.0853,0.1035,0.0136,0.075,-0.0108,0.1015,0.0344,-0.3117,-0.2688,-0.1722,-0.1699,-0.2094,-0.1181,-0.1214,-0.0615,-0.1052,0.1841,0.3313,0.2186,0.2168,0.2477,0.3014,0.3404,1.0
